סמל ועדה,שם ישוב,סמל ישוב
12,כרמי יוסף,1264
18,לוטן,1255
17,מבקיעים,573
2,מבשרת ציון,1015
5,מגדל העמק,874
12,מודיעיןמכביםרעות,1200
2,מוצא עילית,208
5,מוקייבלה,635
11,מזור,606
13,מחנה תל נוף,1412
5,מלאה,164
3,מנרה,347
9,מעין צבי,290
11,מעש,230
3,מרגליות,843
3,משגב עם,378
18,נאות סמדר,1197
3,נווה אטיב,4303
2,נווה דניאל,3725
9,נווה ים,312
5,ניין,523
17,ניצן ב,1419
18,ניצנה קהילת חינוך,1195
5,סולם,526
18,סמר,1156
17,עוזה,826
5,עוזייר,528
3,עין זיוון,4503
3,צפת,8000
18,קלחים,414
3,קלע,4024
8,קרית ים,9600
2,קרית יערים,1137
8,קרית מוצקין,8200
11,ראש העין,2640
12,רמלה,8500
19,רעננה,8700
5,שבלי  אום אלגנם,913
4,שדה אילן,721
18,שדה צבי,2049
2,שורש,456
3,שעל,4009
9,שער מנשה,921
3,שפר,846
5,תל יוסף,84
2,תלם,3719
17,אור הנר,67
16,אזור,565
12,אחיעזר,797
3,איילת השחר,77
3,אלוני הבשן,4017
17,אליאב,1365
2,אלעזר,3618
4,אפיקים,176
17,ארז,714
2,בית אל,3574
5,בלפוריה,94
15,בני ברק,6100
13,בני דרום,592
13,גאליה,853
5,גבע,86
18,גילת,736
12,גמזו,745
13,גן שורק,311
4,האון,702
19,חגור,717
16,חולון,6600
3,חצור הגלילית,2034
13,יבנה,2660
11,יהודמונוסון,9400
5,יפעת,134
3,יראון,623
2,כוכב יעקב,3779
5,כעביהטבאשחגאגרה,978
5,כפר יחזקאל,85
18,כפר מימון,1095
5,מגידו,586
5,מרחביה קיבוץ,66
13,נס ציונה,7200
5,נצרת,7300
8,נשר,2500
18,סוסיה,3756
9,עין איילה,687
5,עין דור,436
5,עין חרוד איחוד,89
9,פרדס חנהכרכור,7800
13,קבוצת יבנה,334
2,קרית ארבע,3611
3,קרית שמונה,2800
18,רביבים,354
8,רכסים,922
15,רמת גן,8600
3,שדה אליעזר,861
5,שמשית,1337
12,שעלבים,856
14,תל אביב  יפו,5000
8,אבטין,652
10,אבן יהודה,182
17,אבן שמואל,400
4,אילניה,49
2,אלון שבות,3604
2,אלמוג,3556
17,אמונים,772
3,אמירים,1064
6,אעבלין,529
4,ארבל,701
13,בית גמליאל,571
10,בית הלוי,373
2,בית הערבה,3645
2,בית זית,710
3,בר יוחאי,1191
6,גדיידהמכר,1292
2,גבעון החדשה,3644
4,גבעת אבני,1293
2,גבעת זאב,3730
15,גבעתיים,6300
3,גדות,35
13,גדרה,2550
6,גיתה,1206
2,גלגל,3606
15,גליל ים,346
5,גן נר,1274
13,גן שלמה,144
4,דגניה ב,79
9,דור,738
9,הבונים,675
9,החותרים,434
2,ורד יריחו,3639
17,זוהר,44
9,זכרון יעקב,9300
18,זמרת,1065
2,זנוח,816
12,חדיד,618
6,חוסן,662
6,חורפיש,496
3,חזון,1047
12,חשמונאים,3770
6,טמרה,8900
17,יד מרדכי,358
18,יושיביה,803
2,ייטב,3607
13,יסודות,440
12,יציץ,759
19,ירחיב,718
3,כחל,1210
13,כפר אביב,857
17,כפר אחים,690
12,כפר האורנים,3796
17,כפר ורבורג,320
5,כפר מצר,512
13,כפר מרדכי,764
9,כפר קרע,654
12,מבוא חורון,3709
3,מגדל שמס,4201
9,מגדים,689
5,מולדת,269
5,מזרע,104
5,מירב,1282
3,מלכיה,596
5,מנשית זבדה,994
4,מסדה,263
2,מעלה עמוס,3653
6,מעלותתרשיחא,1063
4,מצפה נטופה,1190
13,משגב דב,765
3,משמר הירדן,732
6,מתת,1184
17,נגבה,315
5,נהלל,80
18,נווה זוהר,1057
19,נווה ירק,858
2,נווה מיכאל,1071
2,נוקדים,3726
2,נחשון,777
4,נטור,4014
13,ניר גלים,720
2,נס הרים,825
12,נעלה,3787
2,נעמה,3713
12,נען,158
2,נתיב הגדוד,3555
10,נתניה,7400
3,סאסא,578
3,עגר,4501
19,עדנים,2035
4,עיילבון,530
2,עין ראפה,514
6,עכו,7600
13,עשרת,591
5,ציפורי,613
5,צנדלה,636
10,קדימהצורן,195
2,קליה,3601
5,רומת הייב,997
3,ריחאניה,540
5,רמת דוד,135
5,רמת השופט,335
18,שני,1287
18,תראבין אצאנעישוב,1346
2,אבן ספיר,783
10,אודים,446
6,אחיהוד,785
13,אירוס,1336
6,אלקוש,603
17,באר גנים,1376
6,בוסתן הגליל,559
6,ביר אלמכסור,998
13,בית אלעזרי,562
10,בני דרור,386
18,ברוש,2060
13,גבעת ברנר,147
3,גונן,852
10,גן יאשיה,734
13,גן יבנה,166
12,גני מודיעין,3823
4,גשר,305
3,דובב,1067
2,הר אדר,3769
6,יאנוחגת,1295
6,ירכא,502
3,כפר בלום,357
13,כפר הנגיד,582
6,כפר יאסיף,507
17,כפר עזה,845
6,מעיליא,518
2,מצפה שלם,3610
11,נופך,257
11,נחשונים,705
12,נילי,3655
18,ניר עקיבא,2048
2,עופרה,3617
6,עין המפרץ,289
2,צור הדסה,1113
2,צרעה,567
8,קרית טבעון,2300
13,קרית עקרון,469
3,ראש פינה,26
17,רוחמה,362
11,רינתיה,616
4,רמות,4702
19,רמת הכובש,184
3,שדה נחמיה,329
17,שדה עוזיהו,739
12,שוהם,1304
6,שמרת,432
6,שפרעם,8800
18,תלמי בילו,2050
2,תקוע,3563
6,אבו סנאן,473
12,אחיסמך,804
4,אניעם,4012
10,ארסוף,1324
17,באר טוביה,155
2,בית חורון,3575
10,בית ינאי,200
2,בית מאיר,751
17,בית עזרא,756
12,בית עריף,604
10,ביתן אהרן,252
13,בני עיש,1066
17,ברכיה,746
5,גבעת עוז,703
5,גיניגר,92
17,גלאון,393
12,גני הדר,1103
5,דליה,300
10,חבצלת השרון,235
4,חדנס,4026
3,חולתה,253
9,חיננית,3643
3,טובאזנגריה,962
5,טמרה יזרעאל,547
8,יגור,96
12,יד רמבם,64
6,יסעור,575
10,יעף,1044
10,יקום,417
6,כאבול,504
17,כוכב מיכאל,824
12,כפר דניאל,707
5,כפר החורש,192
3,להבות הבשן,380
17,לכיש,24
2,מבוא ביתר,771
18,מבועים,1080
4,מגדל,65
13,מזכרת בתיה,28
5,מיטב,2054
10,מכמורת,382
3,מסעדה,4203
18,מעגלים,1082
2,מעלה לבונה,3752
12,מצליח,757
17,משואות יצחק,620
10,משמרת,425
19,מתן,1315
2,נווה אילן,405
12,נוף איילון,1333
13,נטעים,174
19,ניר אליהו,808
5,ניר יפה,165
18,ניר משה,2047
10,נעורים,186
17,נתיב העשרה,1242
18,סעד,419
12,סתריה,610
17,עזר,1149
12,עזריה,711
17,עזריקם,817
10,עין החורש,167
9,עין כרמל,426
3,עמיעד,385
17,ערוגות,593
9,עתלית,53
2,עתניאל,3748
4,פוריה עילית,1313
6,פסוטה,535
10,צוקי ים,1102
2,צלפון,796
12,צפריה,594
3,קדמת צבי,4025
5,רםאון,1069
12,רמות מאיר,735
8,רמת יוחנן,178
17,שדה דוד,36
13,שדמה,555
2,שואבה,741
18,שובה,761
10,אביחיל,175
5,אומן,1108
2,אורה,780
3,אורטל,4013
17,אחוזם,821
3,אלרום,4003
5,אלון הגליל,1182
19,אלישמע,841
2,אספר,3754
18,אשבול,71
4,אשדות יעקב  איחוד,199
3,בוקעאתא,4001
18,בטחה,762
5,בית השיטה,242
4,בני יהודה,4015
10,בני ציון,418
17,ברור חיל,428
2,בת עין,3794
6,גולס,485
3,גש גוש חלב,487
5,גבעת אלה,1288
2,גבעת יערים,787
10,גבעת שפירא,1077
5,גבת,133
4,גינוסר,262
10,געש,842
3,דלתון,431
3,הגושרים,356
4,הזורעים,307
2,הר גילה,3603
17,זבדיאל,815
8,חואלד,1321
12,חולדה,160
17,חלץ,820
18,חצרים,397
5,טייבה בעמק,497
11,טירת יהודה,663
6,טלאל,1181
2,טלמון,3788
3,יובל,2009
5,יזרעאל,452
12,ישרש,828
6,כסראסמיע,1296
8,כפר ביאליק,220
5,כפר ברוך,132
4,כפר זיתים,786
3,כפר חנניה,1297
4,כפר חרוב,4004
12,כפר טרומן,673
3,כפר סאלד,345
12,כפר שמואל,743
3,כרם בן זמרה,664
9,כרם מהרל,580
17,כרמיה,768
3,מחניים,308
3,מטולה,43
2,מסילת ציון,742
9,מעגן מיכאל,694
5,מעלה גלבוע,1127
2,מעלה החמישה,286
18,מצדות יהודה,3745
18,משמר הנגב,395
5,משמר העמק,130
17,משען,791
12,מתתיהו,3648
4,נאות גולן,4551
18,נבטים,396
19,נווה ימין,686
8,נופית,1284
2,נחושה,59
17,נחלה,2045
11,נחלים,449
2,נטף,1254
17,ניר בנים,553
17,ניר חן,11
17,ניר ישראל,699
19,נירית,1236
17,סגולה,2046
18,עין גדי,2042
5,עין השופט,270
2,עין נקובא,521
2,עלמון,3715
9,עמיקם,773
18,פעמי תשז,2059
6,פקיעין בוקייעה,536
9,קיסריה,1167
3,קצרין,4100
8,ראס עלי,990
17,רווחה,2051
5,רומאנה,539
19,רמות השבים,206
1,רמת רחל,127
17,שדה יואב,293
5,שדה יעקב,142
17,שדה משה,18
9,שדות ים,327
4,שער הגולן,264
2,שריגים ליאון,1114
5,שריד,126
17,שתולים,763
5,תל עדשים,103
5,תמרת,1244
2,תעוז,752
18,תפרח,709
18,תקומה,665
9,אום אלפחם,2710
17,אורות,2012
5,אלוני אבא,429
5,אלונים,285
3,אליפלט,730
17,ביצרון,234
3,ביריה,368
10,בית יהושע,288
17,בית ניר,16
12,בית עוזיאל,301
5,בית רימון,1162
5,בית שאן,9200
17,בית שקמה,747
13,בני ראם,588
3,ברעם,667
10,גאולי תימן,872
11,גבעת השלושה,870
11,גבעת כח,802
17,גברעם,342
17,גיאה,706
12,גינתון,863
5,גלעד אבן יצחק,369
19,גן חיים,239
17,גת קיבוץ,340
2,דולב,3747
5,הושעיה,1186
5,הזורע,250
5,היוגב,684
15,הרצליה,6400
17,חצב,700
2,טל שחר,462
4,יבנאל,46
12,יגל,798
17,יד נתן,775
4,יונתן,4007
5,יפיע,499
12,כפר בן נון,2010
10,כפר הס,187
10,כפר הראה,217
17,כפר הריף,888
6,כפר ורדים,1263
5,כפר יהושע,140
17,כפר מנחם,274
10,כפר נטר,316
3,כרכום,1285
12,לפיד,1310
5,מגן שאול,1155
5,מדרך עוז,2029
4,מנחמיה,48
3,מעין ברוך,416
9,מעלה עירון,1327
5,מרחביה מושב,97
17,מרכז שפירא,1098
12,משמר איילון,670
9,משמרות,213
3,נאות מרדכי,408
17,נהורה,309
5,נווה איתן,296
5,נוף הגליל,1061
2,נחם,809
17,ניצן,351
18,עלומים,1146
4,פוריה  נווה עובד,1105
2,פסגות,3659
19,צופית,198
13,קדרון,615
3,קשת,4006
2,ראש צורים,3602
5,רמות מנשה,445
3,רמות נפתלי,372
15,רמת השרון,2650
5,רמת צבי,339
2,רמת רזיאל,460
3,שאר ישוב,324
19,שדה ורבורג,284
2,שילה,3641
12,שילת,1165
3,שמיר,366
6,שעב,538
17,תימורים,163
17,תלמים,814
18,אבו גווייעד שבט,967
2,אביעזר,1070
2,אדרת,1123
17,אלומה,1145
19,אלון מורה,3579
8,אפק,313
18,אשלים,1152
18,ביר הדאג,1348
5,בית לחם הגלילית,430
12,בית נחמיה,784
5,בית שערים,248
13,בן זכאי,760
11,בני עטרות,448
13,בניה,685
19,ברכה,3710
11,ברקת,2038
17,גבים,424
13,גני טל,1371
17,דורות,336
6,דייר אלאסד,490
3,דפנה,302
5,הסוללים,677
17,זיקים,584
12,זיתן,788
17,זרחיה,818
2,חגי,3764
5,חנתון,1257
17,חצוראשדוד,406
19,יצהר,3749
18,ירוחם,831
3,כפר גלעדי,76
3,כפר חושן,609
4,כפר תבור,47
11,מגשימים,722
2,מטע,822
5,מסילות,298
18,מסלול,748
6,מצפה אביב,1222
18,משאבי שדה,421
5,משהד,520
17,נוגה,55
2,נוה צוף,3573
17,ניצנים,359
17,עוצם,32
9,עין עירון,223
2,עלי,3765
18,ערערהבנגב,1192
3,פרוד,599
12,פתחיה,839
10,צור משה,276
18,רנן,789
19,שדי חמד,2015
17,שחר,7
17,שלווה,873
3,שניר,1132
8,שער העמקים,237
17,שפיר,692
4,שרונה,292
18,תדהר,2061
17,תלמי יחיאל,727
17,תלמי יפה,744
18,אבו קורינאת שבט,968
18,אבו קרינאת יישוב,1342
18,אבו רובייעה שבט,966
17,אביגדור,819
6,אבן מנחם,1081
4,אבני איתן,4011
10,אומץ,680
16,אור יהודה,2400
19,איתמר,3762
18,אעצם שבט,963
19,אריאל,3570
4,אשדות יעקב  מאוחד,188
9,באקה אלגרביה,6000
18,בית הגדי,723
3,בית הלל,322
13,בית חנן,159
10,בית יצחקשער חפר,326
2,בית נקופה,672
4,בית קשת,365
17,בני דקלים,1368
6,בענה,483
10,בצרה,389
2,בקוע,864
2,בר גיורא,823
17,בת הדר,1323
9,בת שלמה,33
9,גת,628
4,גבעת יואב,4021
2,גבעת ישעיהו,919
9,גבעת נילי,360
10,גנות הדר,549
13,גני יוחנן,862
4,דגניה א,62
3,דן,303
18,דקל,1241
18,הוואשלה שבט,1169
2,זכריה,799
18,חולית,1239
10,חופית,115
5,חמדיה,343
4,חספין,4005
6,חרשים,1209
18,יבול,1232
17,יכיני,811
3,יפתח,453
5,ירדנה,2026
18,ישע,916
2,ישעי,805
18,יתד,1227
3,כורזים,1252
18,כיסופים,840
4,כנרת קבוצה,57
18,כסיפה,1059
2,כפר אדומים,3638
2,כפר אוריה,364
10,כפר ויתקין,190
4,כפר חיטים,255
6,כפר מנדא,510
18,כרם שלום,1085
2,כרמי צור,3766
6,כרמיאל,1139
4,לביא,585
2,לוזית,52
6,מגד אלכרום,516
6,מזרעה,517
9,מייסר,649
3,מירון,607
18,מכחול,1343
4,מסד,1258
10,מעברות,197
2,מעלה אדומים,3616
4,מעלה גמלא,4008
3,מרום גולן,4101
18,נאות הכיכר,1124
6,נהריה,9100
4,נוב,4304
18,נווה,1366
5,נווה אור,590
17,נווה מבטח,827
6,נחף,522
9,נחשולים,433
17,ניר עם,348
18,נצאצרה שבט,1041
11,סביון,587
6,סחנין,7500
9,עופר,810
5,עילוט,511
4,עין גב,273
18,עין הבשור,1240
18,עין השלושה,676
5,עין מאהל,532
17,עין צורים,622
11,עינת,871
2,עמינדב,779
18,עמיעוז,318
3,עמיר,319
10,פורת,767
9,צרופה,612
18,קבועה שבט,1234
18,קטורה,1052
9,קציר,1243
19,קרני שומרון,3640
17,רבדים,564
9,רגבים,444
4,רמת מגשימים,4701
18,רעים,713
6,רקפת,1228
10,שושנת העמקים,224
6,שייח דנון,658
6,שלומי,812
9,שקד,3649
10,תל מונד,154
18,אבו רוקייק שבט,961
18,אבו תלול,1375
6,אבטליון,1275
9,אביאל,679
18,אבשלום,1311
18,אוהד,1046
18,אורים,403
19,אורנית,3760
10,אחיטוב,850
19,אלפי מנשה,3750
2,אשתאול,740
18,באר אורה,21
11,בארות יצחק,450
10,בארותיים,697
18,בארי,399
19,בית אריה,3652
6,בית גן,480
4,בית זרע,143
10,בית חירות,877
13,בית חלקיה,2033
9,בית חנניה,800
18,בני נצרים,1363
6,בצת,589
19,ברוכין,3744
19,ברקן,3654
18,גנאביב שבט,976
18,גבולות,352
6,גורנות הגליל,1219
9,גן שמואל,72
8,דאלית אלכרמל,494
6,דייר חנא,492
6,דמיידה,1317
18,דריגאת,1349
17,הודיה,726
6,הילה,1208
6,הרדוף,1249
4,חוקוק,374
8,טירת כרמל,2100
13,יד בנימין,577
10,ינוב,753
19,יקיר,3647
6,כאוכב אבו אלהיגא,505
6,כברי,576
18,כחלה,1367
4,כנרת מושבה,63
10,כפר ידידיה,233
10,כפר יעבץ,170
6,כפר מסריק,297
4,כפר קיש,388
15,כפר שמריהו,267
19,כפר תפוח,3572
4,מבוא חמה,4204
18,מבטחים,829
19,מגדלים,3751
18,מגן,695
18,מדרשת בן גוריון,1140
18,מחנה טלי,1418
13,מישר,731
18,מסעודין אלעזאזמה,939
6,מעונה,570
18,מצפה רמון,99
18,מרחב עם,1340
12,משמר דוד,563
19,נופים,3790
10,נורדיה,447
18,ניר יצחק,402
18,ניר עוז,69
18,נירים,602
2,נתיב הלה,693
18,סופה,1238
6,סלמה,1245
18,ספיר,1176
6,עדי,1199
10,עולש,737
10,עזריאל,837
6,עין יעקב,813
18,עין תמר,1251
3,עלמה,688
19,עמנואל,3660
8,עספיא,534
6,עראבה,531
18,פארן,1151
19,פדואל,3768
12,פדיה,838
6,פלך,1185
13,פלמחים,597
10,פרדסיה,171
18,פרי גן,1231
18,צאלים,413
6,צביה,1180
2,צובה,465
18,צוחר,1136
19,צופים,3791
18,צופר,1150
18,צוקים,1262
19,קדומים,3557
2,קדר,3781
19,קרית נטפים,3746
6,ראמה,543
19,רחלים,3822
5,ריינה,542
6,שבי ציון,282
18,שגבשלום,1286
18,שדה בוקר,885
18,שדה ניצן,1058
18,שדי אברהם,1223
4,שדמות דבורה,306
5,שלוחות,439
18,שלומית,1364
18,תל שבע,1054
18,תלמי אליהו,1051
18,תלמי יוסף,1237
18,תראבין אצאנע שבט,970
2,תרום,778
18,אבו עבדון שבט,958
6,אדמית,1068
19,אייל,716
19,אלקנה,3560
18,אסד שבט,960
12,באר יעקב,2530
10,בורגתה,698
12,בית דגן,466
19,גלגוליה,627
9,גבע כרמל,683
6,גורן,755
12,גנות,836
10,הדר עם,191
10,חירות,162
12,חמד,801
10,חניאל,807
6,חניתה,280
18,חצבה,13
10,חרוצים,1024
9,חריש,1247
18,טללים,1177
5,יקנעם עילית,240
19,כוכב יאיר,1224
6,כישור,1153
19,כפר ברא,633
12,כפר חבד,696
5,כפר כנא,509
9,כפר פינס,189
19,כפר קאסם,634
6,כפר ראש הנקרה,579
18,לקיה,1060
2,מעלה מכמש,3651
2,מצפה יריחו,3576
12,משמר השבעה,729
9,ניר עציון,769
12,ניר צבי,331
6,נס עמים,1143
12,נצר סרני,435
6,נתיב השיירה,792
19,סלעית,3567
6,עבדון,892
6,עברון,376
18,עידן,1175
9,עין הוד,74
18,עין יהב,806
19,עץ אפרים,3778
6,עראמשה,1246
19,צור יצחק,1345
19,צור נתן,1148
18,קודייראת אצאנעשבט,964
18,קצר אסר,1347
16,קרית אונו,2620
6,ראס אלעין,1334
19,רבבה,3795
5,רמת ישי,122
6,שזור,527
19,שערי תקווה,3720
6,שתולה,1045
6,תובל,1172
9,אום אלקוטוף,2024
6,אילון,294
5,אליקים,682
10,אלישיב,204
5,ארגמן,3598
10,בחן,2043
5,בית אלפא,95
5,בית יוסף,265
5,בקעות,3612
9,ברקאי,617
10,בת חן,1361
10,בת חפר,1319
10,גאולים,379
10,גבעת חיים מאוחד,173
5,גיתית,3613
5,חמדת,3646
5,חפציבה,90
18,טנא,3743
5,יפית,3566
5,יקנעם מושבה,241
2,כוכב השחר,3564
6,כמאנה,1331
10,כפר יונה,168
6,כפר רוזנואלד זרעית,1130
9,מאור,2055
9,מגל,375
5,מחולה,3599
18,מיתר,1268
5,מכורה,3614
5,מעלה אפרים,3608
9,מענית,344
9,מצר,648
5,משואה,3605
5,משכיות,3785
6,נטועה,1147
18,סנסנה,3777
18,עומר,666
5,עין הנציב,383
10,עין ורד,157
9,עין שמר,139
10,עין שריד,880
19,עלי זהב,3727
5,פצאל,3615
5,רוויה,2016
5,רועי,3619
5,רותם,3782
5,רחוב,854
2,רימונים,3565
10,רשפון,247
9,שדה יצחק,2008
5,שדמות מחולה,3578
18,שומריה,1265
18,שמעה,3784
5,תל תאומים,1283
18,אום בטין,1358
18,אטרש שבט,965
18,אל סייד,1359
10,אליכין,41
18,אשכולות,3722
6,בית העמק,572
18,בית קמה,598
12,בן שמן מושב,2013
18,גבעות בר,1344
10,גבעת חיים איחוד,2018
6,גילון,1204
9,גן השומרון,225
6,גשר הזיו,574
18,דבירה,849
10,המעפיל,377
10,העוגן,423
10,זמר,1290
10,חגלה,205
18,חורה,1303
10,חיבת ציון,219
5,חמרה,3609
10,חרב לאת,422
10,טייבה,2730
10,טירה,2720
5,טירת צבי,268
10,יד חנה,758
6,יובלים,1226
6,כליל,1183
10,כפר חיים,193
10,כפר מונש,387
5,כפר רופין,295
18,כרמים,1198
18,להב,2023
9,להבות חביבה,715
18,להבים,1271
6,לוחמי הגיטאות,595
6,לוטם,1171
6,לימן,674
6,מורשת,1178
6,מנוף,1174
5,מעוז חיים,272
6,מצובה,325
10,משמר השרון,194
5,ניר דוד תל עמל,256
6,סאגור,525
18,סייד שבט,1170
18,סעוה,1360
6,סער,454
18,עוקבי בנו עוקבה,957
18,עטאוונה שבט,969
6,עין אלאסד,546
5,עין העמק,367
6,עצמון שגב,917
6,ערב אל נעים,1335
18,קוואעין שבט,972
10,קלנסווה,638
6,רגבה,390
5,רשפים,437
5,שדה אליהו,304
5,שדה נחום,259
5,שדי תרומות,2057
18,שובל,394
6,שומרה,614
10,שפיים,232
2,תומר,3558
10,תל יצחק,287
10,תנובות,2002
10,אבני חפץ,3793
6,אשרת,1256
6,חלוץ,1272
6,יודפת,1112
6,יחיעם,409
6,כמון,1201
6,לבון,1207
6,מורן,1163
6,מכמנים,1202
6,מנות,1205
10,ניצני עוז,851
6,עמקה,708
10,ענב,3712
6,צורית,1221
10,שבי שומרון,3571
6,אשחר,1188
6,בן עמי,712
6,געתון,463
6,הררית,1203
6,חוסנייה,1332
6,יעד,1138
6,יערה,795
6,נווה זיו,1314
6,קורנית,1179
6,שורשים,1235
6,שכניה,1160
10,שער אפרים,661
99,מעטפות חיצוניות,9999
