שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2019,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אשלים,1152,ASHALIM,6,62,626,48,,1,568,566,539,2,1976,370,19,1712654161,327,620,10001918,2019,Ashalim,610
אשקלון,7100,ASHQELON,6,61,614,0,,1,144072,143737,124476,335,1948,140,,1596861983,36,604,10001805,2019,Ashqelon,
אשרת,1256,ASHERAT,2,24,245,4,,1,588,587,573,1,1983,370,13,2148876406,63,201,10004302,2019,Asherat,212
אשתאול,740,ESHTA'OL,1,11,112,26,444,1,1238,1231,1202,7,1949,310,1,2009563206,283,151,15000597,2019,Eshta'ol,
באקה אל-גרביה,6000,BAQA AL-GHARBIYYE,3,32,324,0,,2,29950,27,14,29923,,260,,2041570285,68,354,15002436,2019,Baqa Al-Gharbiyye                                 ,
באר אורה,21,BE'ER ORA,6,62,625,53,,1,1033,1003,934,30,1950,370,19,1983840253,108,608,10001955,2019,Be'er Ora,
באר גנים,1376,BE'ER GANNIM,6,61,614,36,,1,1525,1525,1522,,2012,370,,1629862324,31,633,10001805,2019,Be'er Gannim,
באר טוביה,155,BE'ER TOVIYYA,6,61,611,33,143,1,1289,1289,1272,,1930,310,1,1739062698,53,616,10001821,2019,Be'er Toviyya,420
באר יעקב,2530,BE'ER YA'AQOV,4,43,432,99,133,1,27767,27651,26712,116,1907,160,,1849365000,66,455,10002228,2019,Be'er Ya'aqov,
באר מילכה,1278,BE'ER MILKA,6,62,626,48,,1,188,188,188,,2006,310,1,1432753827,217,620,10001918,2019,Be'er Milka,610
באר שבע,9000,BE'ER SHEVA,6,62,623,0,310,1,209687,204048,181304,5639,1948,130,,1796357356,291,605,10001900,2019,Be'er Sheva,
בארות יצחק,450,BE'EROT YIZHAQ,4,42,422,25,142,1,414,414,411,,1948,330,3,1916866088,52,424,10002116,2019,Be'erot Yizhaq,
בארותיים,697,BE'EROTAYIM,4,41,412,16,141,1,1144,1144,1125,,1949,310,1,1986369200,35,409,15000060,2019,Be'erotayim,
בארי,399,BE'ERI,6,62,622,38,,1,1050,1050,1002,,1946,330,15,1516259265,88,651,10001893,2019,Be'eri,620
בוסתן הגליל,559,BUSTAN HAGALIL,2,24,246,4,241,1,1302,1299,1264,3,1948,310,10,2080476168,7,201,10004315,2019,Bustan HaGalil,212
בועיינה-נוג'ידאת,482,BU'EINE-NUJEIDAT,2,25,237,99,,2,9812,14,4,9798,,280,,2348174591,213,251,10004552,2019,Bu'eine-Nujeidat,214
בוקעאתא,4001,BUQ'ATA,2,29,292,99,,2,6610,,,6610,,280,,2730078971,1096,256,10004579,2019,Buq'ata,211
בורגתה,698,BURGETA,4,41,411,16,141,1,1135,1133,1123,2,1949,310,1,1966969241,28,409,15000060,2019,Burgeta,
בחן,2043,BAHAN,4,41,412,16,141,1,1084,1079,1053,5,1953,330,15,2019669523,64,409,10002155,2019,Bahan,
בטחה,762,BITHA,6,62,622,42,344,1,777,777,773,,1950,310,1,1650258264,120,651,10001893,2019,Bitha,620
"בי""ס אזורי מקיף (אשר)",1725, ,2,24,245,4,,,,,,,,520,,2144276828,74,201,10004302,2019,,212
ביצרון,234,BIZZARON,6,61,611,33,143,1,1258,1258,1246,,1935,310,1,1744563381,55,616,10001821,2019,Bizzaron,420
ביר אל-מכסור,998,BIR EL-MAKSUR,2,24,241,99,241,2,9522,3,,9519,,280,,2211374310,244,261,10004497,2019,Bir El-Maksur,310
ביר הדאג',1348,BIR HADAGE,6,62,626,68,,2,5874,18,16,5856,,280,,1714654845,288,624,10001918,2019,Bir Hadage,610
בירייה,368,BIRIYYA,2,21,212,2,,1,839,839,836,,1945,350,,2471076480,814,209,10004528,2019,Biriyya,211
בית אורן,317,BET OREN,3,32,322,15,223,1,507,495,477,12,1939,330,15,2008073739,363,303,10004171,2019,Bet Oren,
בית אל,3574,BET EL,7,74,,99,445,1,5973,5973,5960,,1977,180,,2212164986,853,711,10003299,2019,Bet El,710
בית אלעזרי,562,BET EL'AZARI,4,44,441,28,143,1,1567,1567,1554,,1948,310,1,1814663909,43,456,15002488,2019,Bet El'azari,420
בית אלפא,95,BET ALFA,2,23,232,8,,1,1075,1073,652,2,1922,330,15,2407871365,-83,204,10004568,2019,Bet Alfa,213
בית אריה-עופרים,3652,BET ARYE-OFARIM,7,74,,99,145,1,5253,5253,5070,,1981,180,,2048666000,295,719,10004054,2019,Bet Arye-Ofarim,
בית ברל,1076,BET BERL,4,42,421,20,141,1,198,150,140,48,1947,340,,1932267865,69,417,10002133,2019,Bet Berl,
בית ג'ן,480,BEIT JANN,2,24,243,99,,2,12001,1,,12000,,270,,2357076326,900,258,10004465,2019,Beit Jann,212
בית גוברין,619,BET GUVRIN,6,61,612,35,,1,434,434,428,,1949,330,15,1901861345,266,632,10001813,2019,Bet Guvrin,420
בית גמליאל,571,BET GAMLI'EL,4,44,441,29,143,1,1019,1013,1013,6,1949,310,2,1775164051,29,456,15002488,2019,Bet Gamli'el,420
בית דגן,466,BET DAGAN,4,43,432,99,133,1,7284,7276,7139,8,1948,180,,1840765643,34,455,10002207,2019,Bet Dagan,
בית הגדי,723,BET HAGADDI,6,62,621,39,,1,847,847,847,,1949,310,2,1626059275,148,651,10001930,2019,Bet HaGaddi,620
בית הלוי,373,BET HALEWI,4,41,411,16,141,1,828,828,826,,1945,310,1,1937569557,18,409,15000060,2019,Bet HaLewi,
בית הלל,322,BET HILLEL,2,21,211,55,,1,775,775,763,,1940,310,1,2568779040,87,253,10004591,2019,Bet Hillel,211
בית העמק,572,BET HAEMEQ,2,24,245,4,,1,577,577,545,,1949,330,15,2139376350,47,201,10004302,2019,Bet HaEmeq,212
בית הערבה,3645,BET HAARAVA,7,75,,74,,1,350,350,347,,1980,330,15,2452263505,-301,713,10003314,2019,Bet HaArava,710
בית השיטה,242,BET HASHITTA,2,23,232,8,,1,1263,1262,1219,1,1935,330,15,2415671754,-26,204,10004568,2019,Bet HaShitta,213
בית זיד,353,BET ZEID,2,23,235,9,,1,84,84,80,,1943,350,,2110773411,107,254,10004207,2019,Bet Zeid,213
בית זית,710,BET ZAYIT,1,11,111,26,444,1,1708,1708,1671,,1949,310,1,2154163215,596,151,10002475,2019,Bet Zayit,
בית זרע,143,BET ZERA,2,22,221,6,,1,578,578,556,,1926,330,15,2540573277,-200,214,10004552,2019,Bet Zera,214
בית חולים פוריה,1712, ,2,22,221,6,,,,,,,,520,,2509373983,196,214,10004552,2019,,214
בית חורון,3575,BET HORON,7,74,,73,445,1,1437,1437,1436,,1977,370,11,2121064280,629,711,10004054,2019,Bet Horon,710
בית חירות,877,BET HERUT,4,41,411,16,141,1,916,916,902,,1933,320,1,1878069841,19,409,15000060,2019,Bet Herut,
בית חלקיה,2033,BET HILQIYYA,4,44,441,31,143,1,1248,1248,1248,,1953,310,8,1822563335,66,456,15002488,2019,Bet Hilqiyya,420
בית חנן,159,BET HANAN,4,44,442,27,143,1,542,541,539,1,1930,310,1,1786964903,39,456,15002488,2019,Bet Hanan,
בית חנניה,800,BET HANANYA,3,32,324,15,,1,907,907,883,,1950,310,1,1932771490,10,303,10004333,2019,Bet Hananya,
בית חשמונאי,1050,BET HASHMONAY,4,43,432,30,143,1,2197,2197,2184,,1972,190,,1924564399,103,426,10002228,2019,Bet Hashmonay,
בית יהושע,288,BET YEHOSHUA,4,41,411,19,141,1,1046,1046,1032,,1938,310,6,1875268523,23,401,15000060,2019,Bet Yehoshua,
בית יוסף,265,BET YOSEF,2,23,231,7,,1,481,481,479,,1937,310,1,2520671839,-230,202,10004568,2019,Bet Yosef,214
בית ינאי,200,BET YANNAY,4,41,411,16,141,1,372,372,371,,1933,310,10,1873769865,16,409,15000060,2019,Bet Yannay,
בית יצחק-שער חפר,326,BET YIZHAQ-SH. HEFER,4,41,411,16,141,1,2131,2131,2101,,1940,191,10,1899269340,27,409,15000060,2019,Bet Yizhaq-Sh. Hefer,
בית לחם הגלילית,430,BET LEHEM HAGELILIT,2,23,237,9,242,1,843,842,831,1,1948,310,1,2181773782,160,254,10004411,2019,Bet Lehem HaGelilit ,213
בית מאיר,751,BET ME'IR,1,11,111,26,444,1,877,877,875,,1950,310,2,2035663349,575,151,15000597,2019,Bet Me'ir,
בית נחמיה,784,BET NEHEMYA,4,43,432,25,142,1,879,879,865,,1950,310,6,1958765375,82,424,10002168,2019,Bet Nehemya,
בית ניר,16,BET NIR,6,61,612,35,,1,608,608,597,,1955,330,15,1879961738,240,632,10001813,2019,Bet Nir,420
בית נקופה,672,BET NEQOFA,1,11,111,26,444,1,744,744,725,,1949,310,1,2120163464,663,151,10002475,2019,Bet Neqofa,
בית עובד,202,BET OVED,4,44,442,27,143,1,263,263,261,,1933,310,1,1787064773,32,456,15002488,2019,Bet Oved,
בית עוזיאל,301,BET UZZI'EL,4,43,432,30,143,1,624,624,616,,1956,310,2,1911464200,132,426,10002228,2019,Bet Uzzi'el,
בית עזרא,756,BET EZRA,6,61,611,33,143,1,1116,1115,1089,1,1950,310,1,1674262732,44,616,10001821,2019,Bet Ezra,420
בית עריף,604,BET ARIF,4,43,432,25,142,1,1174,1173,1160,1,1951,310,1,1939465589,58,424,10002168,2019,Bet Arif,
בית צבי,212,BET ZEVI,3,32,321,15,223,1,347,347,345,,1953,340,,1974473615,41,303,10004333,2019,Bet Zevi,
בית קמה,598,BET QAMA,6,62,621,41,341,1,1405,1405,1395,,1949,330,15,1773159525,238,625,10001946,2019,Bet Qama,620
בית קשת,365,BET QESHET,2,22,222,3,,1,713,713,698,,1944,330,15,2372373602,187,206,10004552,2019,Bet Qeshet,214
בית רבן,848,BET RABBAN,4,44,441,29,143,1,1019,1019,1003,,1946,340,,1744963615,54,456,10001821,2019,Bet Rabban ,420
בית רימון,1162,BET RIMMON,2,23,237,3,,1,876,876,876,,1977,330,3,2310474304,397,206,15002369,2019,Bet Rimmon,214
בית שאן,9200,BET SHE'AN,2,23,231,0,,1,18463,18316,17985,147,1948,170,,2469671125,-134,203,10004568,2019,Bet She'an ,214
בית שמש,2610,BET SHEMESH,1,11,112,0,444,1,124957,124849,122867,108,1950,140,,1990162679,302,102,10002507,2019,Bet Shemesh,
בית שערים,248,BET SHE'ARIM,2,23,235,9,,1,766,766,761,,1936,310,1,2169973357,74,254,10004411,2019,Bet She'arim ,213
בית שקמה,747,BET SHIQMA,6,61,614,36,,1,862,858,834,4,1950,310,1,1628461632,53,633,10001829,2019,Bet Shiqma,
ביתן אהרן,252,BITAN AHARON,4,41,411,16,141,1,152,152,147,,1936,310,10,1879969688,25,409,15000060,2019,Bitan Aharon,
ביתר עילית,3780,BETAR ILLIT,7,76,,0,445,1,59269,59268,59254,1,1985,150,,2107462248,702,716,15000586,2019,Betar Illit,
בלפוריה,94,BALFURYA,2,23,234,9,,1,529,529,518,,1922,310,1,2280872620,86,254,10004394,2019,Balfurya,213
בן זכאי,760,BEN ZAKKAY,4,44,441,29,143,1,1132,1132,1114,,1950,310,2,1744464050,30,456,15002488,2019,Ben Zakkay,420
בן עמי,712,BEN AMMI,2,24,245,4,,1,765,763,737,2,1949,310,1,2119076783,28,201,10004302,2019,Ben Ammi,212
בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR),4,43,432,25,142,1,620,618,568,2,1921,340,,1932665185,69,424,10002261,2019,Ben Shemen(K.No'ar),
בן שמן (מושב),2013,BEN SHEMEN (MOSHAV),4,43,432,25,142,1,870,870,857,,1952,310,1,1928365110,65,424,10002261,2019,Ben Shemen (Moshav),
בני ברק,6100,BENE BERAQ,5,52,512,0,122,1,204640,204573,203218,67,1924,130,,1845566599,26,501,15003979,2019,Bene Beraq,
בני דקלים,1368,BNE DEQALIM,6,61,612,50,,1,1211,1211,1210,,2009,370,11,1924560284,390,634,10001813,2019,Bne Dkalim,
בני דרום,592,BENE DAROM,4,44,441,29,143,1,903,902,901,1,1949,320,2,1708963652,35,456,10001836,2019,Bene Darom,420
בני דרור,386,BENE DEROR,4,41,411,18,141,1,1171,1171,1162,,1946,320,1,1907168542,33,412,15000060,2019,Bene Deror,
בני יהודה,4015,BENE YEHUDA,2,29,294,71,,1,1085,1085,975,,1972,370,13,2648874494,344,219,10004579,2019,Bene Yehuda,211
בני נצרים,1363,BNE NETSARIM,6,62,622,38,,1,770,770,770,,2010,310,11,1346156142,99,651,10001893,2019,Bne Netsarim,620
בני עטרות,448,BENE ATAROT,4,42,422,25,142,1,965,965,959,,1948,310,1,1920265901,52,424,10002116,2019,Bene Atarot,
"בני עי""ש",1066,BENE AYISH,4,44,441,99,143,1,6978,6924,5606,54,1958,180,,1774163306,75,453,10001821,2019,Bene Ayish,420
בני ציון,418,BENE ZIYYON,4,41,411,19,141,1,1371,1367,1343,4,1947,310,10,1877968066,38,401,15000060,2019,Bene Ziyyon,
בני ראם,588,BENE RE'EM,4,44,441,31,143,1,1416,1406,1404,10,1949,310,8,1803363099,64,456,15002488,2019,Bene Re'em,420
בניה,685,BENAYA,4,44,441,28,143,1,798,798,797,,1949,310,1,1767263908,32,456,15002488,2019,Benaya,420
בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA,3,32,324,99,,1,15846,15817,15270,29,1903,170,,1966971417,36,353,10004333,2019,Binyamina-Giv'at Ada,
"בסמ""ה",1326,BASMA,3,32,323,99,,2,10010,3,,10007,,270,,2100771513,235,354,10004233,2019,Basma,
בסמת טבעון,944,BASMAT TAB'UN,2,23,237,99,242,2,7915,19,15,7896,,280,,2148073834,189,257,10004207,2019,Basmat Tab'un,
בענה,483,BI'NE,2,24,242,99,,2,8381,12,4,8369,,280,,2258875935,260,260,15002358,2019,Bi'ne,210
בצרה,389,BAZRA,4,41,411,19,141,1,1212,1211,1174,1,1946,310,10,1886968001,26,401,15000060,2019,Bazra,
בצת,589,BEZET,2,24,245,4,,1,295,288,282,7,1949,310,1,2129677511,29,201,10004302,2019,Bezet,212
בקוע,864,BEQOA,1,11,112,26,,1,786,783,764,3,1951,310,1,1930663736,150,151,15000597,2019,Beqoa,
בקעות,3612,BEQA'OT,7,75,,75,,1,181,181,178,,1972,310,10,2428968327,79,712,10003299,2019,Beqa'ot,710
"בקעת נטופה מ""א 56",1854,,2,24,241,56,,,,,,,,530,,2546075680,,,,2019,,210
"בקעת תירען מ""א 3",1884,,2,23,237,3,,,,,,,,530,,2334074370,,,,2019,,214
בר-לב,1728, ,2,24,242,4,241,,,,,,,520,,2179175689,71,201,10004315,2019,,212
בר גיורא,823,BAR GIYYORA,1,11,111,26,444,1,674,671,660,3,1950,310,9,2069462636,695,151,15000597,2019,Bar Giyyora,
בר יוחאי,1191,BAR YOHAY,2,21,212,2,,1,1072,1072,1072,,1979,370,2,2422976699,713,209,10004528,2019,Bar Yohay,211
ברוכין,3744,BRUKHIN,7,73,,72,,1,1165,1165,1158,,2012,370,2,2086866535,382,710,15004488,2019,Brukhin,
ברור חיל,428,BEROR HAYIL,6,61,614,37,,1,953,939,922,14,1948,330,15,1665060742,73,651,10001829,2019,Beror Hayil,620
ברוש,2060,BEROSH,6,62,621,41,344,1,564,564,561,,1953,310,1,1650958666,129,625,10001893,2019,Berosh,620
ברכה,3710,BERAKHA,7,72,,72,,1,2757,2750,2349,7,1983,190,11,2251867768,847,710,15004488,2019,Berakha,
ברכיה,746,BEREKHYA,6,61,614,36,,1,1274,1274,1274,,1950,310,1,1645461979,43,633,10001821,2019,Berekhya,
ברעם,667,BAR'AM,2,24,244,1,,1,594,594,529,,1949,330,15,2409177367,725,253,10004528,2019,Bar'am,211
ברק,141,BARAQ,2,23,234,8,,1,411,411,410,,1956,310,1,2251371652,72,204,10004394,2019,Baraq,213
ברקאי,617,BARQAY,3,32,324,14,,1,553,552,524,1,1949,330,15,2030170904,65,351,15002436,2019,Barqay,
ברקן,3654,BARQAN,7,73,,72,145,1,1895,1893,1769,2,1981,370,9,2101566821,441,710,15004488,2019,Barqan,
ברקת,2038,BAREQET,4,42,422,25,142,1,2081,2081,2075,,1952,191,2,1948865814,81,424,10002168,2019,Bareqet,
בת הדר,1323,BAT HADAR,6,61,614,36,,1,760,760,745,,1995,350,,1618161736,58,633,10001829,2019,Bat Hadar,
בת חן,1361,BAT HEN,4,41,411,16,141,1,412,412,395,,1967,350,,1881869630,34,409,15000060,2019,Bat Hen,
בת חפר,1319,BAT HEFER,4,41,412,16,141,1,5300,5298,5217,2,1996,180,,2014969329,56,409,10002155,2019,Bat Hefer,
בת ים,6200,BAT YAM,5,53,513,0,123,1,129012,128152,101278,860,1926,140,,1765265859,22,502,10001430,2019,Bat Yam,
בת עין,3794,BAT AYIN,7,76,,76,445,1,1568,1566,1556,2,1989,370,11,2096361842,804,714,15000586,2019,Bat Ayin,
בת שלמה,33,BAT SHELOMO,3,32,322,15,243,1,656,656,635,,1889,310,7,2005972292,91,303,10004333,2019,Bat Shelomo,
בתי זיקוק - קישון,1736, ,3,31,311,,210,,,,,,,520,,2057074449,3,,10004207,2019,,
ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,24,246,99,241,2,21163,31,18,21132,,260,,2140675939,38,252,10004315,2019,Judeide-Maker,
ג'ולס,485,JULIS,2,24,243,99,,2,6466,,,6466,,280,,2174876080,112,252,10004315,2019,Julis,
ג'לג'וליה,627,JALJULYE,4,42,421,99,142,2,10148,140,109,10008,,270,,1957367322,37,451,15000658,2019,Jaljulye,
ג'נאביב (שבט),976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,0,699,15003711,2019,Janabib,
ג'סר א-זרקא,541,JISR AZ-ZARQA,3,32,324,99,,2,14930,13,,14917,,270,,1919671585,11,353,10004333,2019,Jisr Az-Zarqa,
ג'ש (גוש חלב),487,JISH(GUSH HALAV),2,21,212,99,,2,3105,10,6,3095,,290,,2420276976,743,258,10004528,2019,Jish(Gush Halav),211
ג'ת,628,JATT,3,32,324,99,,2,12100,12,3,12088,,270,,2036070065,56,354,15002436,2019,Jatt                                              ,
גאולי תימן,872,GE'ULE TEMAN,4,41,411,16,141,1,360,268,266,92,1947,310,2,1909769986,12,409,15000060,2019,Ge'ule Teman,
גאולים,379,GE'ULIM,4,41,411,18,141,1,968,968,949,,1945,310,1,1950268938,55,412,15000060,2019,Ge'ulim,
"גאון הירדן מ""א 3",1963,,2,22,222,3,,,,,,,,530,,,,,,2019,,214
גאליה,853,GE'ALYA,4,44,442,27,143,1,974,974,963,,1948,310,1,1779264365,22,456,15002488,2019,Ge'alya,
גבולות,352,GEVULOT,6,62,622,38,,1,358,358,296,,1943,330,15,1490356905,131,651,10001893,2019,Gevulot,620
גבים,424,GEVIM,6,61,614,37,,1,621,619,600,2,1947,330,15,1617060180,116,651,10001829,2019,Gevim,620
גבע,86,GEVA,2,23,232,8,,1,618,618,600,,1921,330,15,2351971912,12,204,10004394,2019,Geva,213
גבע בנימין,3763,GEVA BINYAMIN,7,74,,73,445,1,5682,5664,5529,18,1984,180,,2260763967,572,711,10003299,2019,Geva Binyamin,710
גבע כרמל,683,GEVA  KARMEL,3,32,321,15,243,1,1200,1200,1184,,1949,310,1,1960372982,22,303,10004333,2019,Geva  Karmel,
גבעולים,2014,GIV'OLIM,6,62,621,39,,1,386,386,386,,1952,310,2,1611658959,120,651,10001930,2019,Giv'olim,620
גבעון החדשה,3644,GIV'ON HAHADASHA,7,74,,73,445,1,1066,1006,981,60,1980,370,11,2150863946,796,711,10002489,2019,Giv'on HaHadasha,710
גבעות בר,1344,GEVA'OT BAR,6,62,623,41,341,1,1231,1229,1210,2,2004,370,19,1768358505,228,625,10001946,2019,Geva'ot Bar,620
גבעת אבני,1293,GIV'AT AVNI,2,22,222,3,,1,2049,2049,2023,,1991,190,,2414274234,283,206,10004552,2019,Giv'at Avni,214
גבעת אלה,1288,GIV'AT ELA,2,23,237,9,,1,1965,1962,1946,3,1988,370,13,2232973632,261,254,10004411,2019,Giv'at Ela,213
גבעת ברנר,147,GIV'AT BRENNER,4,44,441,28,143,1,2679,2679,2627,,1928,193,,1812764167,59,456,15002488,2019,Giv'at Brenner,420
גבעת השלושה,870,GIV'AT HASHELOSHA,4,42,422,20,142,1,869,869,851,,1925,330,15,1927366719,29,417,10002116,2019,Giv'at HaShelosha,
גבעת זאב,3730,GIV'AT ZE'EV,7,74,,99,445,1,18420,18394,18242,26,1983,170,,2159164034,731,705,10002489,2019,Giv'at Ze'ev,710
"גבעת ח""ן",207,GIV'AT HEN,4,42,421,20,131,1,374,374,369,,1933,310,1,1883167498,62,417,10002133,2019,Giv'at Hen,
גבעת חביבה,1740, ,3,32,324,14,,,,,,,,520,,2022770712,51,351,15002436,2019,,
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411,16,141,1,1176,1176,1150,,1932,330,15,1938370064,22,409,15000060,2019,Giv'at Hayyim (Ihud),
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411,16,141,1,1019,1019,991,,1932,330,15,1937069975,20,409,15000060,2019,Giv'at Hayyim(Me'uhad),
גבעת יואב,4021,GIV'AT YO'AV,2,29,294,71,,1,707,705,683,2,1968,310,1,2641674503,311,219,10004579,2019,Giv'at Yo'av,211
גבעת יערים,787,GIV'AT YE'ARIM,1,11,111,26,444,1,1454,1453,1423,1,1950,310,1,2088163269,694,151,15000597,2019,Giv'at Ye'arim,
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112,26,444,1,824,824,815,,1958,310,6,1948961988,298,151,15000597,2019,Giv'at Yesha'yahu,
"גבעת כ""ח",802,GIV'AT KOAH,4,42,422,25,142,1,903,903,882,,1950,310,1,1940765983,69,424,10002168,2019,Giv'at Koah,
"גבעת ניל""י",360,GIV'AT NILI,3,32,323,45,,1,731,731,726,,1953,310,9,2041471707,135,351,10004233,2019,Giv'at Nili,
גבעת עוז,703,GIV'AT OZ,2,23,234,13,,1,464,463,441,1,1949,330,15,2189071785,113,254,10004249,2019,Giv'at Oz,213
גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422,0,132,1,26578,26537,26183,41,1942,160,,1860266489,48,427,10001516,2019,Giv'at Shemu'el,
גבעת שמש,566,GIV'AT SHEMESH,1,11,112,26,444,1,63,57,53,6,1954,340,,1955163138,250,151,15000597,2019,Giv'at Shemesh,
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411,16,141,1,410,410,409,,1958,310,10,1886069600,37,409,15000060,2019,Giv'at Shappira,
גבעתי,793,GIV'ATI,6,61,611,33,143,1,1047,1047,1037,,1950,310,1,1698062683,37,616,10001821,2019,Giv'ati,420
גבעתיים,6300,GIV'ATAYIM,5,52,512,0,122,1,60643,60610,58586,33,1922,150,,1822066430,42,503,10001533,2019,Giv'atayim,
גברעם,342,GEVAR'AM,6,61,614,36,,1,467,467,445,,1942,330,15,1632461117,86,633,10001829,2019,Gevar'am,
גבת,133,GEVAT,2,23,234,9,,1,932,932,919,,1926,330,15,2202173114,94,254,10004411,2019,Gevat,213
גדות,35,GADOT,2,21,213,1,,1,434,434,379,,1949,330,15,2582576941,116,253,10004540,2019,Gadot,211
גדיש,145,GADISH,2,23,234,8,,1,397,397,386,,1956,310,1,2232471829,66,204,10004394,2019,Gadish,213
גדעונה,442,GID'ONA,2,23,232,8,,1,470,470,460,,1949,350,,2339371720,-13,204,10004394,2019,Gid'ona,213
גדרה,2550,GEDERA,4,44,441,99,143,1,28314,28201,27595,113,1884,160,,1792663560,57,431,15002488,2019,Gedera,420
"גולן דרומי מ""א 71",1966,,2,29,294,71,,,,,,,,530,,2704074680,,,,2019,,211
"גולן צפוני מ""א 71",1962,,2,29,292,71,,,,,,,,530,,2709077860,,,,2019,,211
"גולן תיכון מ""א 71",1964,,2,29,293,71,,,,,,,,530,,2670076100,,,,2019,,211
גונן,852,GONEN,2,21,211,1,,1,364,363,350,1,1951,330,15,2607478109,89,253,10004591,2019,Gonen,211
גורן,755,GOREN,2,24,244,52,,1,426,420,417,6,1950,310,1,2224377349,366,255,10004302,2019,Goren,212
גורנות הגליל,1219,GORNOT HAGALIL,2,24,244,52,,1,177,176,170,1,1980,350,,2236377386,388,255,10004302,2019,Gornot HaGalil,212
גזית,457,GAZIT,2,23,233,9,,1,743,743,707,,1948,330,15,2422172722,128,254,10004394,2019,Gazit,213
גזר,370,GEZER,4,43,432,30,143,1,288,287,279,1,1945,330,15,1925264268,121,426,10002228,2019,Gezer,
גיאה,706,GE'A,6,61,614,36,,1,969,969,943,,1949,310,1,1624261519,54,633,10001829,2019,Ge'a,
גיבתון,196,GIBBETON,4,44,441,28,143,1,369,369,366,,1933,350,,1811964406,42,456,10002241,2019,Gibbeton,420
גיזו,1043,GIZO,1,11,112,26,,1,207,207,205,,1968,350,,1943163471,197,151,15000597,2019,Gizo,
גילון,1204,GILON,2,24,242,56,241,1,1093,1093,1063,,1980,370,9,2225075645,297,205,10004465,2019,Gilon,210
גילת,736,GILAT,6,62,622,42,344,1,1451,1451,1444,,1949,310,1,1668758193,136,651,10001893,2019,Gilat,620
גינוסר,262,GINNOSAR,2,22,221,6,,1,585,583,559,2,1937,330,15,2493075035,-203,214,10004552,2019,Ginnosar,214
גיניגר,92,GINNEGAR,2,23,234,9,,1,703,684,662,19,1922,330,15,2244072994,109,254,10004411,2019,Ginnegar,213
גינתון,863,GINNATON,4,43,432,25,142,1,919,915,892,4,1949,310,1,1919965223,57,424,10002261,2019,Ginnaton,
גיתה,1206,GITTA,2,24,243,52,,1,291,291,248,,1980,370,13,2236176356,430,255,10004484,2019,Gitta,212
גיתית,3613,GITTIT,7,75,,75,,1,505,505,498,,1973,310,9,2375966764,301,712,10003299,2019,Gittit,710
גלאון,393,GAL'ON,6,61,611,35,,1,582,582,558,,1946,330,15,1856061576,199,632,10001813,2019,Gal'on,420
גלגל,3606,GILGAL,7,75,,75,,1,203,178,159,25,1970,330,15,2424165627,-249,712,10003299,2019,Gilgal,710
גליל ים,346,GELIL YAM,5,51,511,19,121,1,533,533,528,,1943,330,15,1842067381,43,401,10001605,2019,Gelil Yam,
"גליל עליון מז מ""א 1",1809,,2,21,212,1,,,,,,,,530,,2362077180,,,,2019,,211
"גליל עליון מז מ""א 2",1811,,2,21,212,2,,,,,,,,530,,2438076690,,,,2019,,211
"גליל עליון מז מ""א 55",1810,,2,21,212,55,,,,,,,,530,,2508077340,,,,2019,,211
"גליל עליון מז של""ש",1812,,2,21,212,,,,,,,,,530,,2385076890,,,,2019,,
"גליל תחתון מז מ""א 2",1820,,2,22,222,2,,,,,,,,530,,2419075400,,,,2019,,211
"גליל תחתון מז מ""א 3",1819,,2,22,222,3,,,,,,,,530,,2426074060,,,,2019,,214
"גליל תחתון מז מ""א 6",1821,,2,22,222,6,,,,,,,,530,,2484072760,,,,2019,,214
"גליל תחתון מז של""ש",1822,,2,22,222,,,,,,,,,530,,2416075000,,,,2019,,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236,13,,1,493,492,477,1,1945,330,15,2074371811,185,254,10004411,2019,Gal'ed (Even Yizhaq),213
"גמ""ל מחוז דרום",1997,,6,62,623,,,,,,,,,530,,,,,,2019,,
גמזו,745,GIMZO,4,43,431,25,142,1,1206,1206,1206,,1950,310,8,1945464834,106,424,10002261,2019,Gimzo,
גן הדרום,1072,GAN HADAROM,4,44,441,32,143,1,636,636,631,,1953,310,10,1717663473,39,456,10001821,2019,Gan HaDarom,
גן השומרון,225,GAN HASHOMERON,3,32,324,14,,1,861,860,851,1,1934,310,10,2000870764,44,351,10004261,2019,Gan HaShomeron,
